time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-08-29T04:53:19.545Z,-5.7647,145.396,91.812,5.1,mb,86,66,6.921,0.78,us,us7000i3a1,2022-08-30T02:42:11.679Z,"35 km N of Goroka, Papua New Guinea",earthquake,7.37,5.615,0.047,146,reviewed,us,us
2022-08-29T03:29:13.966Z,-1.0077,98.6416,17.631,5.9,mww,113,34,2.532,0.98,us,us7000i38s,2022-08-31T20:57:29.278Z,"170 km WSW of Pariaman, Indonesia",earthquake,6.71,3.934,0.08,15,reviewed,us,us
2022-08-29T01:18:18.447Z,4.3626,62.5554,10,4.8,mb,49,102,11.425,0.79,us,us7000i38a,2022-08-29T01:42:21.040Z,"Carlsberg Ridge",earthquake,11.74,1.89,0.069,64,reviewed,us,us
2022-08-28T23:45:17.175Z,4.6338,62.3529,10,4.6,mb,78,37,15.645,0.66,us,us7000i37y,2022-08-29T00:06:43.040Z,"Carlsberg Ridge",earthquake,9.06,1.857,0.061,80,reviewed,us,us
2022-08-28T22:34:35.863Z,-1.0445,98.6434,31.811,5.7,mww,111,26,2.565,0.56,us,us7000i37c,2022-08-30T15:19:32.040Z,"170 km WSW of Pariaman, Indonesia",earthquake,6.44,3.127,0.08,15,reviewed,us,us
2022-08-28T22:30:31.085Z,4.5196,62.3316,10,4.7,mb,29,196,21.146,0.17,us,us7000i37d,2022-08-29T01:26:02.040Z,"Carlsberg Ridge",earthquake,12.74,1.986,0.115,23,reviewed,us,us
2022-08-28T21:04:47.150Z,-6.0231,147.42,70.538,4.8,mb,53,83,5.063,0.52,us,us7000i36q,2022-08-28T23:20:18.040Z,"75 km NW of Finschhafen, Papua New Guinea",earthquake,7.78,5.748,0.059,89,reviewed,us,us
2022-08-28T18:48:02.073Z,-21.7582,-176.9899,221.3,5.6,mww,119,32,1.764,0.97,us,us7000i35t,2022-08-29T18:51:06.719Z,"195 km WSW of Haveluloto, Tonga",earthquake,9.5,4.215,0.051,37,reviewed,us,us
2022-08-28T17:04:40.301Z,-1.0404,98.6115,17.653,4.9,mb,54,167,2.549,0.62,us,us7000i34y,2022-08-28T17:23:48.040Z,"174 km WSW of Pariaman, Indonesia",earthquake,8.11,3.959,0.076,57,reviewed,us,us
2022-08-28T16:58:48.763Z,6.6078,126.7118,175.51,4.5,mb,85,50,1.215,0.31,us,us7000i34w,2022-08-28T17:33:01.040Z,"51 km SE of Bobon, Philippines",earthquake,9.39,6.48,0.062,76,reviewed,us,us
2022-08-28T13:21:09.261Z,-21.357,-178.8435,564.753,5.1,mww,70,48,3.4,0.68,us,us7000i33u,2022-08-28T14:10:01.040Z,"Fiji region",earthquake,12.41,7.137,0.098,10,reviewed,us,us
2022-08-28T12:19:08.957Z,51.8359,160.1228,10,4.8,mb,66,149,1.493,0.46,us,us7000i33j,2022-08-28T12:43:39.040Z,"168 km SE of Vilyuchinsk, Russia",earthquake,7.5,1.904,0.062,79,reviewed,us,us
2022-08-28T10:00:30.600Z,8.7126,126.9405,51.814,4.7,mb,45,111,2.117,0.48,us,us7000i333,2022-08-28T10:21:50.040Z,"71 km E of Marihatag, Philippines",earthquake,9.86,8.234,0.061,81,reviewed,us,us
2022-08-28T06:13:43.036Z,-35.1093,-71.9137,46.16,4.6,mb,82,70,0.1,0.79,us,us7000i326,2022-08-28T15:45:17.700Z,"42 km NNW of Talca, Chile",earthquake,3.55,6.09,0.052,110,reviewed,us,us
2022-08-28T04:58:54.408Z,5.2884,125.3775,188.367,4.8,mb,63,74,1.781,1.14,us,us7000i31d,2022-08-28T05:15:33.040Z,"15 km SW of Sarangani, Philippines",earthquake,7.52,5.735,0.045,153,reviewed,us,us
2022-08-28T03:54:34.630Z,-18.8141,-69.7283,99.205,4.6,mb,39,94,0.52,0.72,us,us7000i313,2022-08-28T05:00:20.729Z,"70 km ESE of Arica, Chile",earthquake,5.29,5.378,0.066,69,reviewed,us,us
2022-08-28T03:42:30.535Z,-22.514,170.9369,10,5.2,mww,71,74,3.228,1.04,us,us7000i30z,2022-08-29T15:12:31.040Z,"southeast of the Loyalty Islands",earthquake,9.61,1.786,0.069,20,reviewed,us,us
2022-08-28T01:03:37.236Z,32.4399,142.4389,10,4.7,mb,31,204,2.312,0.42,us,us7000i300,2022-08-28T01:23:07.040Z,"Izu Islands, Japan region",earthquake,13.07,1.952,0.06,85,reviewed,us,us
2022-08-28T00:54:50.588Z,32.4558,142.4436,10,5.3,mww,127,98,2.311,1.11,us,us7000i2zw,2022-08-28T01:20:04.040Z,"Izu Islands, Japan region",earthquake,4.05,1.841,0.063,24,reviewed,us,us
2022-08-27T23:47:16.048Z,51.7409,160.0747,10,4.6,mb,57,152,1.553,1.06,us,us7000i2zl,2022-08-28T00:00:58.040Z,"174 km SE of Vilyuchinsk, Russia",earthquake,5.15,1.902,0.074,55,reviewed,us,us
2022-08-27T20:49:51.302Z,-10.4437,109.4819,10,4.6,mb,49,71,2.717,0.77,us,us7000i2yv,2022-08-27T21:05:53.040Z,"289 km SSW of Bambanglipuro, Indonesia",earthquake,2.92,1.883,0.086,40,reviewed,us,us
2022-08-27T18:27:38.839Z,17.3146,120.7862,41.428,5.2,mww,157,41,5.482,0.8,us,us7000i2ye,2022-08-30T14:54:24.814Z,"13 km SE of San Ramon, Philippines",earthquake,7.02,4.702,0.063,24,reviewed,us,us
2022-08-27T13:06:03.091Z,49.6803,156.0778,64.483,4.7,mb,48,133,3.716,0.71,us,us7000i2x1,2022-08-27T20:50:51.040Z,"110 km S of Severo-Kuril’sk, Russia",earthquake,5.48,7.406,0.032,291,reviewed,us,us
2022-08-27T09:20:24.480Z,51.8574,159.2484,35,4.6,mb,51,119,1.224,0.89,us,us7000i2w4,2022-08-27T09:48:42.040Z,"132 km SSE of Vilyuchinsk, Russia",earthquake,9.36,1.922,0.066,75,reviewed,us,us
2022-08-27T05:07:47.461Z,-13.2348,167.0186,199.663,4.5,mb,29,94,2.207,0.62,us,us7000i2vd,2022-08-27T05:25:27.040Z,"91 km NW of Sola, Vanuatu",earthquake,11.34,7.72,0.118,22,reviewed,us,us
2022-08-26T23:20:20.665Z,-6.3181,155.0982,130.997,4.7,mb,72,66,3.606,0.64,us,us7000i2tv,2022-08-26T23:58:01.040Z,"42 km W of Panguna, Papua New Guinea",earthquake,6.6,6.113,0.046,141,reviewed,us,us
2022-08-26T16:10:50.242Z,-14.4889,167.3473,172.804,5,mww,106,38,0.963,0.75,us,us7000i2qa,2022-08-26T17:59:07.040Z,"67 km NNE of Port-Olry, Vanuatu",earthquake,7.09,4.574,0.086,13,reviewed,us,us
2022-08-26T05:38:13.492Z,29.6046,-42.8108,10,4.8,mb,88,95,24.46,0.43,us,us7000i2ik,2022-08-26T05:59:30.040Z,"northern Mid-Atlantic Ridge",earthquake,12.06,1.887,0.063,78,reviewed,us,us
2022-08-26T04:52:17.896Z,25.4082,95.3749,10,4.7,mb,32,92,3.196,1.17,us,us7000i2i8,2022-08-26T22:27:30.873Z,"92 km ESE of Phek, India",earthquake,5.51,1.92,0.108,26,reviewed,us,us
2022-08-25T23:48:30.562Z,32.0417,130.0748,10,4.6,mb,37,87,0.621,0.61,us,us7000i2h1,2022-08-26T00:16:33.040Z,"12 km WNW of Akune, Japan",earthquake,4.84,1.892,0.104,28,reviewed,us,us
2022-08-25T15:41:02.196Z,-31.4729,-178.0094,36.963,4.8,mb,27,131,6.792,1.24,us,us7000i2fm,2022-08-27T13:41:00.040Z,"Kermadec Islands region",earthquake,11.17,7.31,0.119,24,reviewed,us,us
2022-08-25T09:46:15.018Z,-6.1332,130.4836,128.731,4.7,mb,44,98,3.646,0.77,us,us7000i2a4,2022-08-25T10:23:38.040Z,"257 km WSW of Tual, Indonesia",earthquake,10.24,8.303,0.071,60,reviewed,us,us
2022-08-25T03:21:30.681Z,-4.7237,101.7545,35,5,mb,61,82,1.251,0.72,us,us7000i285,2022-08-25T04:32:40.040Z,"116 km SSW of Bengkulu, Indonesia",earthquake,6.54,1.888,0.078,53,reviewed,us,us
2022-08-25T00:00:09.851Z,29.1428,105.5307,10,4.6,mb,46,77,7.922,0.67,us,us7000i27b,2022-08-25T00:59:30.461Z,"42 km WSW of Yongchuan, China",earthquake,12.07,1.903,0.088,39,reviewed,us,us
2022-08-24T22:43:29.037Z,47.8584,153.7172,62.32,5.1,mb,95,131,5.837,0.71,us,us7000i26g,2022-08-24T23:03:25.040Z,"Kuril Islands",earthquake,10.29,6.943,0.024,538,reviewed,us,us
2022-08-24T21:48:11.755Z,23.7644,94.6116,99.882,4.9,mb,96,51,3.731,0.64,us,us7000i261,2022-08-24T22:19:39.004Z,"25 km ENE of Mawlaik, Myanmar",earthquake,9.02,6.928,0.053,112,reviewed,us,us
2022-08-24T20:10:51.786Z,3.5402,127.1066,44.825,4.9,mb,59,79,2.762,1.24,us,us7000i255,2022-08-24T20:33:10.040Z,"224 km NNW of Tobelo, Indonesia",earthquake,7.79,6.799,0.055,103,reviewed,us,us
2022-08-24T19:32:31.695Z,-30.7971,-89.9324,10,4.7,mb,47,143,9.823,0.82,us,us7000i24n,2022-08-24T20:51:02.040Z,"southeast central Pacific Ocean",earthquake,11.05,1.803,0.059,86,reviewed,us,us
2022-08-24T18:06:03.310Z,-20.5913,-177.7435,501.601,4.8,mb,60,68,2.443,0.73,us,us7000i243,2022-08-24T18:32:43.040Z,"270 km WNW of Haveluloto, Tonga",earthquake,13.2,7.214,0.074,57,reviewed,us,us
2022-08-24T15:33:34.732Z,-19.8898,168.7481,27.802,5,mww,37,85,2.969,1.2,us,us7000i238,2022-08-25T13:22:19.040Z,"Vanuatu",earthquake,7.25,3.615,0.089,12,reviewed,us,us
2022-08-24T13:09:39.026Z,46.7091,153.1361,10,4.6,mb,64,91,7.049,0.69,us,us7000i20a,2022-08-26T15:45:12.040Z,"Kuril Islands",earthquake,9.41,1.879,0.055,101,reviewed,us,us
2022-08-24T12:09:45.839Z,-21.9825,-68.4982,107.722,5.4,mww,144,62,1.009,0.8,us,us7000i1zr,2022-08-25T15:32:38.040Z,"68 km NE of Calama, Chile",earthquake,6.35,5.351,0.056,31,reviewed,us,us
2022-08-24T05:30:20.974Z,35.7255,29.7983,10,4.5,mb,34,161,0.53,1.21,us,us7000i1y0,2022-08-24T06:36:22.040Z,"54 km SSE of Ka?, Turkey",earthquake,3.98,1.937,0.18,9,reviewed,us,us
2022-08-24T02:41:30.291Z,-5.2523,102.9358,55.656,4.7,mb,36,175,0.886,0.53,us,us7000i1xc,2022-08-24T03:14:18.040Z,"140 km SSW of Pagar Alam, Indonesia",earthquake,8.31,7.862,0.129,18,reviewed,us,us
2022-08-24T01:26:53.874Z,16.9282,-99.4163,26.831,4.8,mb,91,162,1.028,1.27,us,us7000i1wm,2022-08-24T14:58:41.344Z,"2 km SE of Llano Grande, Mexico",earthquake,9.91,6.098,0.033,281,reviewed,us,us
2022-08-23T19:46:51.735Z,-6.2232,103.7979,28.436,5.1,mb,150,42,2.032,0.82,us,us7000i1uy,2022-08-24T14:59:04.298Z,"184 km WSW of Bandar Lampung, Indonesia",earthquake,7.03,4.114,0.056,115,reviewed,us,us
2022-08-23T19:39:40.880Z,26.9517,127.2444,105.65,4.6,mb,136,54,0.925,0.71,us,us7000i1uw,2022-08-23T21:59:09.040Z,"82 km NW of Ishikawa, Japan",earthquake,6.29,6.155,0.047,134,reviewed,us,us
2022-08-23T18:45:09.424Z,-31.3067,179.9544,400.901,4.6,mb,98,62,2.744,0.88,us,us7000i1uj,2022-08-23T21:32:59.040Z,"Kermadec Islands region",earthquake,9.55,5.258,0.056,99,reviewed,us,us
2022-08-23T18:41:30.101Z,-62.1906,161.3689,10,5.8,mww,105,33,15.405,0.91,us,us7000i1ui,2022-08-24T18:45:23.062Z,"",earthquake,10.67,1.776,0.08,15,reviewed,us,us
2022-08-23T17:20:07.196Z,37.5633,141.5037,55.234,4.5,mb,68,133,2.826,0.85,us,us7000i1u1,2022-08-23T20:54:52.040Z,"45 km E of Namie, Japan",earthquake,7.06,7.74,0.084,45,reviewed,us,us
2022-08-23T16:45:10.247Z,3.9797,95.8875,68.048,4.6,mb,63,98,1.63,0.34,us,us6000id55,2022-08-31T20:36:24.040Z,"off the west coast of northern Sumatra",earthquake,8.62,6.83,0.084,45,reviewed,us,us
2022-08-23T16:29:43.085Z,-20.4851,-173.9139,17.064,5.1,mb,40,126,0.774,0.9,us,us6000id52,2022-08-31T20:31:53.040Z,"87 km SSE of Pangai, Tonga",earthquake,5.07,4.297,0.045,167,reviewed,us,us
2022-08-23T15:53:54.996Z,-24.902,-179.8871,489.538,4.6,mb,34,105,5.692,0.57,us,us7000i41x,2022-08-31T19:10:36.040Z,"south of the Fiji Islands",earthquake,12.76,9.311,0.088,39,reviewed,us,us
2022-08-23T14:49:11.251Z,37.678,-31.9366,10,4.6,mb,19,109,1.792,0.99,us,us7000i42b,2022-08-31T18:59:20.040Z,"199 km SSW of Lajes das Flores, Portugal",earthquake,9.24,1.911,0.182,13,reviewed,us,us
2022-08-23T14:31:39.963Z,-5.0735,103.0826,50.5,6.2,mww,115,42,0.719,0.77,us,us6000id0t,2022-08-31T18:29:32.582Z,"117 km S of Pagar Alam, Indonesia",earthquake,7.22,1.899,0.046,46,reviewed,us,us
2022-08-23T14:23:55.445Z,-24.532,179.9812,495.569,4.5,mb,42,118,5.56,0.68,us,us7000i41w,2022-08-31T17:32:04.040Z,"south of the Fiji Islands",earthquake,10.69,8.11,0.099,33,reviewed,us,us
2022-08-23T13:39:11.901Z,-5.3932,131.3953,85.137,5,mww,57,48,2.574,0.66,us,us6000id0n,2022-08-31T17:10:51.040Z,"152 km W of Tual, Indonesia",earthquake,6.91,5.911,0.093,11,reviewed,us,us
2022-08-23T11:53:10.580Z,-62.5512,-158.9885,10,5.4,mb,68,77,18.706,0.61,us,us6000id05,2022-08-24T11:56:47.519Z,"Pacific-Antarctic Ridge",earthquake,10.38,1.861,0.07,69,reviewed,us,us
2022-08-23T10:25:52.937Z,-62.7179,-158.7608,10,5.2,mb,23,102,18.59,0.48,us,us6000iczk,2022-08-23T10:45:44.040Z,"Pacific-Antarctic Ridge",earthquake,14.58,1.927,0.109,28,reviewed,us,us
2022-08-23T10:24:20.258Z,-22.7877,-179.4368,514.348,4.5,mb,54,99,4.246,0.64,us,us6000iczj,2022-08-23T10:43:08.040Z,"south of the Fiji Islands",earthquake,10.75,5.52,0.033,273,reviewed,us,us
2022-08-23T07:08:07.441Z,14.7279,108.145,10,4.8,mb,43,142,4.164,0.81,us,us6000icyw,2022-08-29T04:19:20.306Z,"43 km NNE of Kon Tum, Vietnam",earthquake,7.97,1.782,0.081,48,reviewed,us,us
2022-08-23T06:36:23.258Z,39.741,22.2817,12.62,4.6,mb,67,38,0.396,0.47,us,us6000icyp,2022-08-24T16:30:37.552Z,"0 km WNW of Týrnavos, Greece",earthquake,3.66,3.359,0.072,57,reviewed,us,us
2022-08-23T03:09:18.067Z,-37.8927,-74.7118,10,4.5,mb,49,140,1.666,0.64,us,us6000icxt,2022-08-23T23:18:20.040Z,"98 km WSW of Lebu, Chile",earthquake,6.68,1.907,0.121,20,reviewed,us,us
2022-08-22T21:04:56.866Z,33.3624,141.8189,10,4.5,mb,43,129,1.698,0.47,us,us6000icvt,2022-08-28T23:06:20.040Z,"241 km SE of Katsuura, Japan",earthquake,7.16,1.882,0.09,36,reviewed,us,us
2022-08-22T20:46:29.436Z,-15.9172,167.0031,16.086,4.8,mb,31,119,0.506,0.61,us,us7000i40n,2022-08-31T17:48:11.040Z,"45 km WNW of Norsup, Vanuatu",earthquake,7.61,3.983,0.125,20,reviewed,us,us
2022-08-22T20:00:53.762Z,-30.961,-177.3762,10,4.7,mb,25,132,1.758,0.85,us,us7000i40l,2022-08-31T17:17:00.040Z,"",earthquake,6.38,1.81,0.158,12,reviewed,us,us
2022-08-22T17:42:54.761Z,-16.1101,-173.8243,84.16,4.5,mb,24,70,2.53,0.5,us,us7000i40f,2022-08-31T16:15:12.040Z,"17 km S of Hihifo, Tonga",earthquake,9.21,6.56,0.181,11,reviewed,us,us
2022-08-22T16:35:01.113Z,55.4482,-163.5178,173.175,4.5,mb,122,49,0.596,0.58,us,us6000ictn,2022-08-31T16:41:38.040Z,"58 km WNW of Cold Bay, Alaska",earthquake,4.74,3.339,0.035,245,reviewed,us,us
2022-08-22T14:59:59.906Z,13.5996,120.8066,93.883,4.5,mb,43,115,11.825,0.71,us,us6000ics1,2022-08-31T16:33:10.486Z,"9 km SW of Tingloy, Philippines",earthquake,10.95,6.328,0.086,40,reviewed,us,us
2022-08-22T13:53:55.637Z,33.0782,69.5078,33.3,4.6,mb,82,56,1.509,0.43,us,us6000icrr,2022-08-31T16:11:08.313Z,"48 km SW of Kh?st, Afghanistan",earthquake,6.97,2.848,0.057,96,reviewed,us,us
2022-08-22T13:50:10.282Z,-34.7745,-71.7583,46.04,4.5,mb,48,119,0.274,0.48,us,us6000icrq,2022-08-31T16:07:17.893Z,"38 km WSW of Santa Cruz, Chile",earthquake,4.97,5.421,0.118,22,reviewed,us,us
2022-08-22T12:34:42.298Z,17.0486,-94.8722,126.754,4.5,mb,55,123,2.731,0.52,us,us6000icrb,2022-08-23T02:10:16.201Z,"6 km SSE of Cuauhtémoc, Mexico",earthquake,9.59,11.287,0.046,139,reviewed,us,us
2022-08-22T08:36:32.661Z,-9.0889,115.5827,140.865,5.5,mww,120,75,1.542,0.57,us,us6000icp4,2022-08-28T09:37:31.029Z,"49 km SE of Nusa Dua, Indonesia",earthquake,6.74,5.943,0.086,13,reviewed,us,us
2022-08-22T07:54:58.127Z,-0.9625,-24.6462,10,5.1,mb,109,37,12.228,0.52,us,us6000icp1,2022-08-22T08:21:03.040Z,"central Mid-Atlantic Ridge",earthquake,4.53,1.759,0.029,399,reviewed,us,us
2022-08-22T04:12:02.074Z,-20.474,-11.6815,10,5,mb,38,83,27.543,0.65,us,us6000icnq,2022-08-28T22:48:56.040Z,"southern Mid-Atlantic Ridge",earthquake,5.91,1.887,0.09,39,reviewed,us,us
2022-08-22T02:53:01.463Z,25.2536,123.5504,160.009,5.3,mww,114,39,0.924,0.54,us,us6000icmp,2022-08-22T14:34:47.453Z,"103 km NNE of Yonakuni, Japan",earthquake,6.91,4.371,0.054,33,reviewed,us,us
2022-08-21T23:15:56.415Z,55.3634,162.1236,40.777,4.9,mb,114,84,3.108,0.77,us,us6000icll,2022-08-29T04:44:07.040Z,"98 km SSW of Ust’-Kamchatsk Staryy, Russia",earthquake,7.63,6.434,0.033,285,reviewed,us,us
2022-08-21T16:55:59.768Z,-19.1963,-69.5049,105.69,4.5,mb,47,97,0.554,0.5,us,us6000icjy,2022-08-30T18:56:40.040Z,"115 km SE of Arica, Chile",earthquake,4.22,5.469,0.08,49,reviewed,us,us
2022-08-21T15:28:14.140Z,60.584,-28.6737,10,5.2,mww,107,28,5.375,0.56,us,us6000icjp,2022-08-30T18:42:19.040Z,"Reykjanes Ridge",earthquake,7.15,1.731,0.046,45,reviewed,us,us
2022-08-21T15:27:04.216Z,60.514,-28.6917,10,4.7,mb,184,38,5.438,0.43,us,us6000icjm,2022-08-30T18:31:15.040Z,"Reykjanes Ridge",earthquake,8.29,1.74,0.033,275,reviewed,us,us
2022-08-21T13:18:38.420Z,-0.91,-80.055,56.312,4.6,mb,55,143,1.32,0.63,us,us6000icj1,2022-08-30T17:25:28.040Z,"14 km ESE of Calceta, Ecuador",earthquake,7.13,7.229,0.052,115,reviewed,us,us
2022-08-21T11:46:08.754Z,-7.2582,154.8117,10,4.7,mb,55,55,4.028,0.47,us,us6000icir,2022-08-21T12:26:06.040Z,"128 km SW of Panguna, Papua New Guinea",earthquake,6.14,1.873,0.07,61,reviewed,us,us
2022-08-21T10:28:00.597Z,-0.2377,-80.7018,10,5.5,mww,108,140,2.109,0.55,us,us6000icif,2022-08-24T15:00:01.040Z,"50 km NW of Bahía de Caráquez, Ecuador",earthquake,6.98,1.87,0.06,27,reviewed,us,us
2022-08-21T07:33:59.291Z,3.1473,126.3318,58.823,4.7,mb,52,107,2.576,0.6,us,us6000ichr,2022-08-21T08:06:56.040Z,"237 km NE of Laikit, Laikit II (Dimembe), Indonesia",earthquake,8.15,7.859,0.085,42,reviewed,us,us
2022-08-21T05:08:34.449Z,-0.1868,125.22,50.929,4.9,mb,63,45,2.348,0.86,us,us6000ich5,2022-08-21T05:27:34.040Z,"168 km SSE of Tondano, Indonesia",earthquake,7.41,7.545,0.056,101,reviewed,us,us
2022-08-21T02:56:04.118Z,54.9802,110.5984,10,4.8,mb,51,80,5.318,0.94,us,us6000icgs,2022-08-21T05:31:26.141Z,"75 km NNE of Kurumkan, Russia",earthquake,10.07,1.887,0.039,208,reviewed,us,us
2022-08-21T01:20:03.097Z,15.1789,122.3229,10,4.5,mb,23,121,8.228,1.14,us,us7000i3pl,2022-08-31T00:22:41.040Z,"",earthquake,6.77,1.921,0.172,11,reviewed,us,us
2022-08-20T19:50:00.879Z,-30.0696,-71.2991,76.562,4.5,mb,34,123,0.159,0.39,us,us6000icex,2022-08-20T22:00:38.040Z,"13 km SSE of Coquimbo, Chile",earthquake,4.5,4.289,0.164,11,reviewed,us,us
